,ID1,ID2,ID3,ID4,ID5,ID6
ID1,0,0.819402,0.870784,0.869778,0.818166,0.900601
ID2,0.819402,0,0.887569,0.912571,0.884642,0.890851
ID3,0.870784,0.887569,0,0.629332,0.823067,0.753819
ID4,0.869778,0.912571,0.629332,0,0.827997,0.742266
ID5,0.818166,0.884642,0.823067,0.827997,0,0.854712
ID6,0.900601,0.890851,0.753819,0.742266,0.854712,0
