,ID1,ID2,ID3,ID4,ID5,ID6
ID1,0,0.565165,0.569174,0.302243,0.267118,0.15115
ID2,0.565165,0,0.218066,0.380102,0.458389,0.558639
ID3,0.569174,0.218066,0,0.354115,0.457642,0.566354
ID4,0.302243,0.380102,0.354115,0,0.213788,0.308407
ID5,0.267118,0.458389,0.457642,0.213788,0,0.289337
ID6,0.15115,0.558639,0.566354,0.308407,0.289337,0
