,ID1,ID2,ID3,ID4,ID5,ID6
ID1,0,0.91071,0.994412,0.993345,0.993275,0.87615
ID2,0.91071,0,0.995164,0.996156,0.990628,0.821734
ID3,0.994412,0.995164,0,0.741448,0.975148,0.996101
ID4,0.993345,0.996156,0.741448,0,0.967829,0.994384
ID5,0.993275,0.990628,0.975148,0.967829,0,0.992669
ID6,0.87615,0.821734,0.996101,0.994384,0.992669,0
