,ID1,ID2,ID3,ID4,ID5,ID6
ID1,0,0.920678,0.992567,0.99341,0.997462,0.876298
ID2,0.920678,0,0.997822,0.999347,0.999504,0.887565
ID3,0.992567,0.997822,0,0.955978,0.830228,0.996794
ID4,0.99341,0.999347,0.955978,0,0.930337,0.996773
ID5,0.997462,0.999504,0.830228,0.930337,0,0.997341
ID6,0.876298,0.887565,0.996794,0.996773,0.997341,0
