,ID1,ID2,ID3,ID4,ID5,ID6
ID1,0,0.853015,0.985244,0.986907,0.994937,0.779831
ID2,0.853015,0,0.995653,0.998695,0.999009,0.797858
ID3,0.985244,0.995653,0,0.71818,0.942178,0.993609
ID4,0.986907,0.998695,0.71818,0,0.869748,0.993567
ID5,0.994937,0.999009,0.942178,0.869748,0,0.994695
ID6,0.779831,0.797858,0.993609,0.993567,0.994695,0
